Fecha,Planner_Modelo,Validator_Modelo,Intento,Planner_Plan_Valido,Planner_Formato_Valido,Validator_Formato_Arreglado,Validator_Mantiene_Plan,Final_Plan_Valido,Errores,Comentarios
2025-08-28,Qwen3:235b,Command-a:latest,1,S,N,S,N,N,"Validador cambió el plan empeorándolo; formato corregido","Planner válido sin formato; validator dio formato pero degradó el plan"
2025-08-28,Qwen3:235b,Command-a:latest,2,S,N,N,N,N,"Validador se bloquea / se confunde","Planner válido sin formato; validator no consigue validar"
2025-08-28,Qwen3:235b,Qwen3:235b,1,N,N,N,N,N,"Ni plan ni formato","Ambos fallan en generar plan/formato"
2025-08-28,Qwen3:235b,Llama4,1,S,N,N,N,N,"Validador se bloquea / se confunde","Planner válido sin formato; llama4 no consigue validar"
2025-08-28,Deepseek-R1:70b,Llama4,1,S,N,S,N,N,"Recarga innecesaria introducida por validador","Validator dio formato pero cambió el plan con recarga innecesaria"
2025-08-28,Deepseek-R1:70b,Llama4,2,S,N,S,S,S,,"Validator corrigió formato manteniendo el plan"
2025-08-28,Deepseek-R1:70b,Llama4,3,S,N,S,N,N,"Validador cambió el plan; planner tenía acciones innecesarias","Validator dio formato pero no mantuvo el plan"
2025-08-28,Command-a:latest,Llama4,1,S,S,NA,N,S,"Planner con recarga innecesaria; validador mejoró a plan perfecto","Validator optimiza el plan final"
2025-08-28,Command-a:latest,Llama4,2,N,S,NA,N,N,"Validador empeora y falla batería","Planner inicialmente inválido; validator termina con fallos"
2025-08-28,Command-a:latest,Llama4,3,N,S,NA,N,N,"Validador empeora y falla batería","Planner duplicó explicación; validator empeora"
2025-08-28,Command-a:latest,Llama4,4,N,S,NA,N,N,"Validador empeora y falla batería","Planner con recarga innecesaria; validator empeora"
2025-08-28,Command-a:latest,Llama4,5,N,S,NA,N,N,"Validador empeora y falla batería","Patrón repetido: recarga innecesaria + empeora"
2025-08-28,Command-a:latest,Llama4,6,N,S,NA,N,N,"Validador empeora y falla batería","Patrón repetido: recarga innecesaria + empeora"
2025-08-28,Command-a:latest,Llama4,7,N,S,NA,N,N,"Validador empeora y falla batería","Patrón repetido: recarga innecesaria + empeora"
