"Nombre","Autor","Pais_del_Autor","Año","Descripcion_general","Etapa","Característica Relevante"
"Mona Lisa","Leonardo da Vinci","Italia","1503","Retrato de una mujer con una enigmática sonrisa, fondo paisajístico","Renacimiento","Uso del sfumato para crear profundidad"
"La noche estrellada","Vincent van Gogh","Países Bajos","1889","Paisaje nocturno con cielo turbulento y un ciprés en primer plano","Postimpresionismo","Pinceladas gruesas y colores intensos que expresan emoción"
"El grito","Edvard Munch","Noruega","1893","Figura angustiada gritando bajo un cielo rojo ardiente","Expresionismo","Expresión del miedo y ansiedad existencial"
"Guernica","Pablo Picasso","España","1937","Representación simbólica del bombardeo de Guernica durante la Guerra Civil Española","Cubismo","Composición monocromática con figuras distorsionadas"
"La joven de la perla","Johannes Vermeer","Países Bajos","1665","Retrato de una joven mirando por encima del hombro, con un pendiente de perla","Barroco","Uso magistral de la luz para resaltar la figura"
"Las Meninas","Diego Velázquez","España","1656","Escena de la infanta Margarita rodeada de sus meninas, pintada con gran profundidad y realismo","Barroco","Complejidad compositiva y juego con la perspectiva y el espectador"
"El 3 de mayo de 1808","Francisco de Goya","España","1814","Fusilamiento de civiles españoles por soldados napoleónicos","Romanticismo","Uso dramático de la luz y la expresión emocional del sufrimiento"
"El jardín de las delicias","Hieronymus Bosch","Países Bajos","1500","Tríptico que representa el Paraíso, la vida terrenal y el Infierno","Renacimiento","Simbolismo críptico y fantasía surrealista"
"Las tres gracias","Pedro Pablo Rubens","Flandes","1639","Tres figuras femeninas mitológicas en una escena de armonía y belleza","Barroco","Representación del cuerpo humano con voluptuosidad y dinamismo"
"La rendición de Breda","Diego Velázquez","España","1635","Escena histórica donde el general holandés entrega las llaves de Breda al español","Barroco","Composición simétrica y enfoque en la nobleza del vencido"
"El nacimiento de Venus","Sandro Botticelli","Italia","1486","Venus emerge del mar sobre una concha, rodeada de figuras mitológicas","Renacimiento","Idealización de la belleza femenina y composición mitológica"
"La creación de Adán","Miguel Ángel","Italia","1512","Dios y Adán extienden sus manos para casi tocarse en el techo de la Capilla Sixtina","Renacimiento","Representación simbólica del origen de la humanidad"
"La última cena","Leonardo da Vinci","Italia","1498","Jesús y sus apóstoles en el momento en que anuncia la traición","Renacimiento","Composición dramática y expresión emocional de los personajes"
"La libertad guiando al pueblo","Eugène Delacroix","Francia","1830","Alegoría de la revolución francesa con una mujer liderando al pueblo","Romanticismo","Símbolo de lucha por la libertad y fuerte carga política"
"El hijo del hombre","René Magritte","Bélgica","1964","Retrato de un hombre con un sombrero bombín y una manzana flotante que cubre su rostro","Surrealismo","Juego visual e interpretación enigmática"
"American Gothic","Grant Wood","Estados Unidos","1930","Retrato de una pareja rural americana con un fondo de casa estilo gótico","Regionalismo","Símbolo de la cultura estadounidense tradicional"
"La persistencia de la memoria","Salvador Dalí","España","1931","Relojes blandos en un paisaje onírico que desafía la lógica temporal","Surrealismo","Exploración del subconsciente y la relatividad del tiempo"
"La ronda de noche","Rembrandt","Países Bajos","1642","Milicianos en formación capturados en un momento dinámico","Barroco","Uso dramático del claroscuro y movimiento"
"Impresión, sol naciente","Claude Monet","Francia","1872","Paisaje marino con un sol difuminado sobre el agua","Impresionismo","Inspiró el nombre del movimiento impresionista"
"Bañistas en Asnières","Georges Seurat","Francia","1884","Jóvenes disfrutando a la orilla del Sena con técnica puntillista","Neoimpresionismo","Uso del puntillismo para crear luz y volumen"
"Saturno devorando a su hijo","Francisco de Goya","España","1823","Saturno devora a uno de sus hijos en una escena oscura y perturbadora","Romanticismo","Obra de las 'Pinturas Negras', cargada de simbolismo y horror"
"Whistler's Mother","James McNeill Whistler","Estados Unidos","1871","Retrato de perfil de la madre del artista sentada en una silla","Realismo","Símbolo cultural de la maternidad y el respeto"
"La gran ola de Kanagawa","Katsushika Hokusai","Japón","1831","Ola gigantesca amenaza a pescadores con el monte Fuji al fondo","Ukiyo-e","Uso de líneas fuertes y perspectiva occidental"
"El beso","Gustav Klimt","Austria","1908","Pareja abrazada y envuelta en ricos ornamentos dorados","Simbolismo / Art Nouveau","Decoración dorada y sensualidad expresiva"
"Autorretrato con collar de espinas","Frida Kahlo","México","1940","Autorretrato con mono, gato y collar de espinas sangrante","Surrealismo / Realismo mágico","Símbolos de dolor y resiliencia personal"
"El carnaval del arlequín","Joan Miró","España","1924","Composición onírica con formas biomórficas en movimiento","Surrealismo","Estilo lúdico con formas abstractas vivas"
"Nighthawks","Edward Hopper","Estados Unidos","1942","Escena nocturna de personas en una cafetería iluminada","Realismo moderno","Sensación de aislamiento urbano"
"Retrato de Adele Bloch-Bauer I","Gustav Klimt","Austria","1907","Retrato de una mujer enmarcada en ornamentos dorados","Art Nouveau","Técnica ornamental de oro y diseño complejo"
"Campbell's Soup Cans","Andy Warhol","Estados Unidos","1962","Serie de latas de sopa Campbell repetidas como arte","Pop Art","Crítica a la cultura de masas y consumo"
"Composition VIII","Wassily Kandinsky","Rusia","1923","Composición abstracta con figuras geométricas y líneas","Abstraccionismo","Relación entre arte y música mediante color y forma"
